箇所マスタの更新方法,,,,,,,,
　・組織の統廃合や、システム内の設定が変わった場合は、行の挿入や削除をして、eProStaff又はe-worksのコードの追加削除を行い、,,,,,,,,
　　それに合うようにオリジナルのコードを付けてください。該当するマスタ名がない場合は追加してください。,,,,,,,,
,,,,,,,,
,,,,,,,,
eProとe-worksチェックのオリジナルのマスタ,,,e-worksの箇所マスタ,,,eProStaffの箇所マスタ,,
順序,部門（上位）,部門（下位）,システム,部門コード,部門名称,システム,部門コード,部門名称
3121,長崎鉄道Ｇ,長崎鉄道Ｇ,,,,ePro,3.02E+11,環境（長崎）
3141,大村・佐世保Ｇ,大村・佐世保Ｇ,e-works,3.02E+11,大村・佐世保G（新幹線大村）,ePro,3.02E+11,大村・佐世保Ｇ
3141,大村・佐世保Ｇ,大村・佐世保Ｇ,e-works,3.02E+11,大村・佐世保G（武雄温泉）,ePro,3.02E+11,大村・佐世保Ｇ　車両整備
3141,大村・佐世保Ｇ,大村・佐世保Ｇ,,,,ePro,3.02E+11,大村・佐世保Ｇ　駅清掃
3141,大村・佐世保Ｇ,大村・佐世保Ｇ,,,,ePro,3.02E+11,大村・佐世保Ｇ　ハウステンボス・ビル清掃
3141,大村・佐世保Ｇ,大村・佐世保Ｇ,,,,ePro,3.02E+11,大村・佐世保Ｇ　ビル
3143,長崎鉄道Ｇ（大村）,長崎鉄道Ｇ（大村）,e-works,3.02E+11,長崎鉄道G（車両整備　大村）,ePro,,車両整備（大村）
3145,長崎鉄道Ｇ（武雄温泉）,長崎鉄道Ｇ（武雄温泉）,e-works,3.02E+11,長崎鉄道G（車両整備　武雄温泉）,ePro,,車両整備（武雄温泉）
3145,長崎鉄道Ｇ（武雄温泉）,長崎鉄道Ｇ（武雄温泉）,,,,ePro,,駅清掃（武雄温泉）
3147,佐世保Ｇ,佐世保Ｇ,e-works,30210,佐世保G（佐世保）,ePro,3.02E+11,佐世保Ｇ
3147,佐世保Ｇ,佐世保Ｇ,e-works,3.02E+11,佐世保G,ePro,3.02E+11,車両整備
3147,佐世保Ｇ,佐世保Ｇ,e-works,3.02E+11,佐世保G（早岐）,ePro,3.02E+11,駅清掃
3147,佐世保Ｇ,佐世保Ｇ,e-works,3.02E+11,佐世保G（HTB）,ePro,3.02E+11,ハウステンボス・ビル清掃
3147,佐世保Ｇ,佐世保Ｇ,e-works,3.02E+11,佐世保G(HTB客室清掃),ePro,3.02E+11,ビル
3161,長崎シティＧ,長崎シティＧ,e-works,3.02E+11,長崎シティG,ePro,3.02E+11,長崎シティＧ
3161,長崎シティＧ,長崎シティＧ,e-works,3.02E+11,長崎シティG(ビル清掃),ePro,3.02E+11,ビル清掃
3161,長崎シティＧ,長崎シティＧ,e-works,3.02E+11,長崎シティG(長崎歴史博物館),ePro,3.02E+11,長崎歴史博物館
3161,長崎シティＧ,長崎シティＧ,e-works,3.02E+11,長崎シティG(ホテル長崎),ePro,3.02E+11,クリーン
3161,長崎シティＧ,長崎シティＧ,e-works,3.02E+11,長崎シティG(アパホテル長崎駅前),ePro,3.02E+11,
3161,長崎シティＧ,長崎シティＧ,e-works,3.02E+11,長崎シティG(アパホテル長崎出島),ePro,3.02E+11,アパホテル長崎駅前
3161,長崎シティＧ,長崎シティＧ,,,,ePro,3.02E+11,アパホテル長崎出島
4111,熊本支店,熊本支店,e-works,3.04E+11,熊本支店,ePro,3.04E+11,熊本支店
4111,熊本支店,熊本支店,,,,ePro,3.04E+11,全般管理
4121,熊本鉄道Ｇ,熊本鉄道Ｇ,e-works,3.04E+11,熊本鉄道G（駅清掃）,,,
4121,熊本鉄道Ｇ,熊本鉄道Ｇ,e-works,3.04E+11,熊本鉄道G（新八代）,,,
4121,熊本鉄道Ｇ,熊本鉄道Ｇ,e-works,3.04E+11,熊本鉄道G（荒尾）,,,
4141,熊本西Ｇ,熊本西Ｇ,e-works,3.04E+11,熊本鉄道G西派出,,,
4141,熊本西Ｇ,熊本西Ｇ,e-works,3.04E+11,熊本西G,ePro,3.04E+11,熊本西Ｇ
